label,Lx0,Ly0,Lx1,Ly1,Lx2,Ly2,Lx3,Ly3,Lx4,Ly4,Lx5,Ly5,Lx6,Ly6,Lx7,Ly7,Lx8,Ly8,Lx9,Ly9,Lx10,Ly10,Lx11,Ly11,Lx12,Ly12,Lx13,Ly13,Lx14,Ly14,Lx15,Ly15,Lx16,Ly16,Lx17,Ly17,Lx18,Ly18,Lx19,Ly19,Lx20,Ly20,Rx0,Ry0,Rx1,Ry1,Rx2,Ry2,Rx3,Ry3,Rx4,Ry4,Rx5,Ry5,Rx6,Ry6,Rx7,Ry7,Rx8,Ry8,Rx9,Ry9,Rx10,Ry10,Rx11,Ry11,Rx12,Ry12,Rx13,Ry13,Rx14,Ry14,Rx15,Ry15,Rx16,Ry16,Rx17,Ry17,Rx18,Ry18,Rx19,Ry19,Rx20,Ry20
HELLO,0.0,0.0,0.114076,-0.130982,0.186029,-0.350804,0.234596,-0.5334,0.278841,-0.675061,0.07099,-0.548857,0.092581,-0.730532,0.107157,-0.828505,0.117583,-0.9219,-0.033886,-0.568413,-0.030607,-0.777885,-0.02695,-0.894518,-0.025325,-1.0,-0.129452,-0.531871,-0.155937,-0.725504,-0.171853,-0.839318,-0.18541,-0.941577,-0.211876,-0.442428,-0.260867,-0.582091,-0.290897,-0.670726,-0.31911,-0.75268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.125347,-0.125811,0.203638,-0.351347,0.237334,-0.532943,0.276298,-0.674803,0.062512,-0.550173,0.092171,-0.733534,0.111214,-0.850897,0.126225,-0.958305,-0.04588,-0.565444,-0.050187,-0.765548,-0.045802,-0.890426,-0.040543,-1.0,-0.143645,-0.531236,-0.175198,-0.725985,-0.190744,-0.846914,-0.20411,-0.952005,-0.227487,-0.445418,-0.273494,-0.589854,-0.303494,-0.682919,-0.330135,-0.762964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.123448,-0.11155,0.197936,-0.315686,0.240796,-0.489777,0.284771,-0.622663,0.074424,-0.526203,0.10011,-0.714458,0.11603,-0.842987,0.127503,-0.95539,-0.031494,-0.537308,-0.035412,-0.739856,-0.035869,-0.876874,-0.036408,-1.0,-0.127014,-0.495686,-0.152947,-0.686872,-0.167567,-0.817209,-0.180667,-0.931861,-0.210044,-0.402672,-0.24532,-0.547865,-0.271641,-0.647642,-0.29637,-0.731203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.116189,-0.128283,0.192303,-0.338843,0.235241,-0.514107,0.283641,-0.645776,0.068063,-0.557171,0.095923,-0.742135,0.110598,-0.855291,0.120187,-0.95453,-0.033902,-0.567339,-0.035016,-0.771142,-0.02845,-0.89392,-0.022155,-1.0,-0.124832,-0.525551,-0.151223,-0.72446,-0.163183,-0.85046,-0.170575,-0.961058,-0.204182,-0.436936,-0.245528,-0.583282,-0.269753,-0.679476,-0.290245,-0.764077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.12521,-0.147123,0.204285,-0.343702,0.255175,-0.506435,0.305161,-0.635184,0.099512,-0.564676,0.13654,-0.747615,0.160195,-0.860225,0.176976,-0.963392,0.004503,-0.579138,0.016555,-0.772759,0.028578,-0.892552,0.036229,-1.0,-0.08532,-0.546965,-0.099616,-0.739203,-0.104149,-0.860392,-0.10548,-0.971561,-0.169465,-0.464366,-0.20287,-0.619202,-0.216668,-0.72332,-0.225063,-0.822594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.118997,-0.130539,0.198809,-0.318324,0.255959,-0.474853,0.313208,-0.590856,0.100897,-0.518716,0.145186,-0.706417,0.170953,-0.824319,0.18983,-0.928771,0.013342,-0.538234,0.037394,-0.747596,0.054723,-0.882959,0.066259,-1.0,-0.070022,-0.513145,-0.077803,-0.711944,-0.079942,-0.840205,-0.076682,-0.95409,-0.152299,-0.4445,-0.178142,-0.591201,-0.189903,-0.691367,-0.195956,-0.787539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.122107,-0.121932,0.20526,-0.301299,0.267735,-0.454132,0.32844,-0.567295,0.11439,-0.501757,0.163286,-0.691317,0.188656,-0.811409,0.206872,-0.9162,0.030304,-0.528012,0.061065,-0.743618,0.080689,-0.88356,0.094152,-1.0,-0.051219,-0.509338,-0.053856,-0.717423,-0.05395,-0.849913,-0.049437,-0.963385,-0.132268,-0.447241,-0.157688,-0.592893,-0.172787,-0.694019,-0.18246,-0.788876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.121421,-0.126468,0.204392,-0.307771,0.269351,-0.462569,0.334104,-0.574999,0.110674,-0.505101,0.161981,-0.694829,0.188049,-0.815162,0.208307,-0.919549,0.028235,-0.531542,0.060299,-0.745723,0.078413,-0.885054,0.09032,-1.0,-0.053893,-0.512918,-0.056187,-0.723919,-0.054513,-0.854562,-0.049575,-0.964697,-0.134494,-0.451649,-0.163886,-0.598197,-0.182197,-0.698454,-0.1965,-0.791674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.124383,-0.121053,0.207056,-0.301866,0.27338,-0.453417,0.334633,-0.565691,0.112627,-0.506247,0.161307,-0.695269,0.189254,-0.813369,0.210403,-0.918989,0.029593,-0.531258,0.061919,-0.744475,0.084201,-0.882393,0.099045,-1.0,-0.052694,-0.510756,-0.057287,-0.721563,-0.053272,-0.852769,-0.045614,-0.966256,-0.134017,-0.448507,-0.164109,-0.596695,-0.178296,-0.697232,-0.185592,-0.792309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.125389,-0.116917,0.212013,-0.29826,0.27925,-0.454622,0.345489,-0.569937,0.122144,-0.50556,0.17331,-0.694753,0.200735,-0.813653,0.221373,-0.919477,0.037747,-0.532544,0.07113,-0.746091,0.091006,-0.883803,0.103773,-1.0,-0.045968,-0.512764,-0.047784,-0.722441,-0.044126,-0.852128,-0.037285,-0.964348,-0.128561,-0.450927,-0.157589,-0.597092,-0.172335,-0.694548,-0.181294,-0.78716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
