label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
HELLO,0.0,0.0,0.114076,-0.130982,0.186029,-0.350804,0.234596,-0.5334,0.278841,-0.675061,0.07099,-0.548857,0.092581,-0.730532,0.107157,-0.828505,0.117583,-0.9219,-0.033886,-0.568413,-0.030607,-0.777885,-0.02695,-0.894518,-0.025325,-1.0,-0.129452,-0.531871,-0.155937,-0.725504,-0.171853,-0.839318,-0.18541,-0.941577,-0.211876,-0.442428,-0.260867,-0.582091,-0.290897,-0.670726,-0.31911,-0.75268
HELLO,0.0,0.0,0.125347,-0.125811,0.203638,-0.351347,0.237334,-0.532943,0.276298,-0.674803,0.062512,-0.550173,0.092171,-0.733534,0.111214,-0.850897,0.126225,-0.958305,-0.04588,-0.565444,-0.050187,-0.765548,-0.045802,-0.890426,-0.040543,-1.0,-0.143645,-0.531236,-0.175198,-0.725985,-0.190744,-0.846914,-0.20411,-0.952005,-0.227487,-0.445418,-0.273494,-0.589854,-0.303494,-0.682919,-0.330135,-0.762964
HELLO,0.0,0.0,0.123448,-0.11155,0.197936,-0.315686,0.240796,-0.489777,0.284771,-0.622663,0.074424,-0.526203,0.10011,-0.714458,0.11603,-0.842987,0.127503,-0.95539,-0.031494,-0.537308,-0.035412,-0.739856,-0.035869,-0.876874,-0.036408,-1.0,-0.127014,-0.495686,-0.152947,-0.686872,-0.167567,-0.817209,-0.180667,-0.931861,-0.210044,-0.402672,-0.24532,-0.547865,-0.271641,-0.647642,-0.29637,-0.731203
HELLO,0.0,0.0,0.116189,-0.128283,0.192303,-0.338843,0.235241,-0.514107,0.283641,-0.645776,0.068063,-0.557171,0.095923,-0.742135,0.110598,-0.855291,0.120187,-0.95453,-0.033902,-0.567339,-0.035016,-0.771142,-0.02845,-0.89392,-0.022155,-1.0,-0.124832,-0.525551,-0.151223,-0.72446,-0.163183,-0.85046,-0.170575,-0.961058,-0.204182,-0.436936,-0.245528,-0.583282,-0.269753,-0.679476,-0.290245,-0.764077
HELLO,0.0,0.0,0.12521,-0.147123,0.204285,-0.343702,0.255175,-0.506435,0.305161,-0.635184,0.099512,-0.564676,0.13654,-0.747615,0.160195,-0.860225,0.176976,-0.963392,0.004503,-0.579138,0.016555,-0.772759,0.028578,-0.892552,0.036229,-1.0,-0.08532,-0.546965,-0.099616,-0.739203,-0.104149,-0.860392,-0.10548,-0.971561,-0.169465,-0.464366,-0.20287,-0.619202,-0.216668,-0.72332,-0.225063,-0.822594
HELLO,0.0,0.0,0.118997,-0.130539,0.198809,-0.318324,0.255959,-0.474853,0.313208,-0.590856,0.100897,-0.518716,0.145186,-0.706417,0.170953,-0.824319,0.18983,-0.928771,0.013342,-0.538234,0.037394,-0.747596,0.054723,-0.882959,0.066259,-1.0,-0.070022,-0.513145,-0.077803,-0.711944,-0.079942,-0.840205,-0.076682,-0.95409,-0.152299,-0.4445,-0.178142,-0.591201,-0.189903,-0.691367,-0.195956,-0.787539
HELLO,0.0,0.0,0.122107,-0.121932,0.20526,-0.301299,0.267735,-0.454132,0.32844,-0.567295,0.11439,-0.501757,0.163286,-0.691317,0.188656,-0.811409,0.206872,-0.9162,0.030304,-0.528012,0.061065,-0.743618,0.080689,-0.88356,0.094152,-1.0,-0.051219,-0.509338,-0.053856,-0.717423,-0.05395,-0.849913,-0.049437,-0.963385,-0.132268,-0.447241,-0.157688,-0.592893,-0.172787,-0.694019,-0.18246,-0.788876
HELLO,0.0,0.0,0.121421,-0.126468,0.204392,-0.307771,0.269351,-0.462569,0.334104,-0.574999,0.110674,-0.505101,0.161981,-0.694829,0.188049,-0.815162,0.208307,-0.919549,0.028235,-0.531542,0.060299,-0.745723,0.078413,-0.885054,0.09032,-1.0,-0.053893,-0.512918,-0.056187,-0.723919,-0.054513,-0.854562,-0.049575,-0.964697,-0.134494,-0.451649,-0.163886,-0.598197,-0.182197,-0.698454,-0.1965,-0.791674
HELLO,0.0,0.0,0.124383,-0.121053,0.207056,-0.301866,0.27338,-0.453417,0.334633,-0.565691,0.112627,-0.506247,0.161307,-0.695269,0.189254,-0.813369,0.210403,-0.918989,0.029593,-0.531258,0.061919,-0.744475,0.084201,-0.882393,0.099045,-1.0,-0.052694,-0.510756,-0.057287,-0.721563,-0.053272,-0.852769,-0.045614,-0.966256,-0.134017,-0.448507,-0.164109,-0.596695,-0.178296,-0.697232,-0.185592,-0.792309
HELLO,0.0,0.0,0.125389,-0.116917,0.212013,-0.29826,0.27925,-0.454622,0.345489,-0.569937,0.122144,-0.50556,0.17331,-0.694753,0.200735,-0.813653,0.221373,-0.919477,0.037747,-0.532544,0.07113,-0.746091,0.091006,-0.883803,0.103773,-1.0,-0.045968,-0.512764,-0.047784,-0.722441,-0.044126,-0.852128,-0.037285,-0.964348,-0.128561,-0.450927,-0.157589,-0.597092,-0.172335,-0.694548,-0.181294,-0.78716
HELLO,0.0,0.0,0.162077,0.002389,0.316801,-0.145223,0.39809,-0.301463,0.47407,-0.414967,0.34334,-0.459998,0.452942,-0.626842,0.537538,-0.729432,0.6063,-0.804834,0.284935,-0.546113,0.410987,-0.730938,0.50092,-0.849937,0.5831,-0.950034,0.211665,-0.607886,0.334056,-0.793353,0.430945,-0.908818,0.515588,-1.0,0.11711,-0.648958,0.227956,-0.812036,0.314449,-0.917601,0.39598,-0.99999
HELLO,0.0,0.0,0.172674,0.000493,0.337642,-0.152141,0.413953,-0.315307,0.473141,-0.438527,0.365233,-0.459458,0.483424,-0.632373,0.56848,-0.755339,0.634774,-0.859724,0.309705,-0.535081,0.440203,-0.721096,0.524878,-0.850339,0.598815,-0.965374,0.24044,-0.59331,0.366489,-0.77461,0.458053,-0.895941,0.535247,-1.0,0.14759,-0.632478,0.260729,-0.783896,0.341627,-0.887882,0.415472,-0.977195
HELLO,0.0,0.0,0.202199,0.002676,0.368135,-0.160477,0.449392,-0.320714,0.506604,-0.452885,0.402706,-0.436264,0.514136,-0.608684,0.585858,-0.721456,0.641853,-0.82274,0.347297,-0.520047,0.473784,-0.715393,0.555072,-0.842185,0.623699,-0.9545,0.276036,-0.578413,0.399251,-0.774947,0.48593,-0.894682,0.561284,-1.0,0.179107,-0.610597,0.281282,-0.773908,0.355507,-0.869864,0.424939,-0.953633
HELLO,0.0,0.0,0.199543,-0.015269,0.361909,-0.172585,0.442254,-0.324013,0.502493,-0.44981,0.405599,-0.457627,0.511639,-0.637576,0.581074,-0.744529,0.637635,-0.839576,0.343464,-0.540446,0.464364,-0.734873,0.546594,-0.852841,0.619723,-0.960573,0.266917,-0.592402,0.38555,-0.782455,0.470436,-0.897467,0.54425,-1.0,0.168724,-0.615127,0.267102,-0.775715,0.340516,-0.876451,0.409672,-0.965908
HELLO,0.0,0.0,0.200222,-0.004337,0.373451,-0.162541,0.457094,-0.322508,0.526051,-0.451033,0.428709,-0.462469,0.542983,-0.636818,0.618672,-0.749972,0.680398,-0.853304,0.368174,-0.541202,0.495665,-0.731703,0.579556,-0.851702,0.654475,-0.960547,0.293109,-0.593818,0.415277,-0.786048,0.503703,-0.900947,0.583286,-1.0,0.195167,-0.621968,0.296355,-0.789654,0.370972,-0.887693,0.4424,-0.971188
HELLO,0.0,0.0,0.196491,-0.011881,0.364527,-0.17142,0.447647,-0.325631,0.518836,-0.443681,0.421904,-0.462751,0.532906,-0.6286,0.60331,-0.740996,0.659963,-0.845536,0.364485,-0.541624,0.486786,-0.725327,0.564775,-0.842337,0.634428,-0.951318,0.289707,-0.59179,0.406975,-0.781569,0.489393,-0.896201,0.56301,-1.0,0.190468,-0.615812,0.286573,-0.774773,0.35741,-0.866978,0.4255,-0.950359
HELLO,0.0,0.0,0.206106,-0.01414,0.371583,-0.188561,0.454243,-0.336369,0.510241,-0.46053,0.409252,-0.456309,0.524084,-0.626053,0.595687,-0.740203,0.65141,-0.846821,0.356284,-0.531496,0.482946,-0.721175,0.564054,-0.841278,0.633906,-0.951345,0.285976,-0.582422,0.408004,-0.776596,0.495205,-0.893451,0.572675,-1.0,0.191885,-0.608424,0.289611,-0.775188,0.361927,-0.869991,0.430926,-0.952807
HELLO,0.0,0.0,0.196735,-0.011904,0.36866,-0.177018,0.460567,-0.321349,0.519652,-0.43781,0.426349,-0.463003,0.536661,-0.632916,0.605745,-0.744674,0.659935,-0.849776,0.374831,-0.539001,0.498641,-0.727192,0.579262,-0.846226,0.649085,-0.95736,0.306563,-0.589341,0.429352,-0.779303,0.514904,-0.894451,0.589177,-1.0,0.21543,-0.614632,0.316657,-0.777695,0.388823,-0.87091,0.457974,-0.953943
HELLO,0.0,0.0,0.199103,-0.020103,0.369907,-0.185825,0.45893,-0.328215,0.514523,-0.441474,0.428024,-0.467128,0.535607,-0.635788,0.603108,-0.746092,0.656561,-0.850345,0.375528,-0.54138,0.497697,-0.72821,0.577429,-0.845315,0.6469,-0.954372,0.305572,-0.589434,0.427131,-0.77918,0.512594,-0.894359,0.587533,-1.0,0.211561,-0.611794,0.312933,-0.776088,0.38548,-0.869463,0.455571,-0.952628
HELLO,0.0,0.0,0.055418,-0.34003,0.198524,-0.592827,0.330162,-0.732793,0.440443,-0.828763,0.4452,-0.615467,0.636744,-0.757859,0.670183,-0.8925,0.649852,-1.0,0.490854,-0.48639,0.681932,-0.630048,0.711997,-0.782374,0.680308,-0.903961,0.511112,-0.332863,0.70676,-0.444896,0.731471,-0.586735,0.696712,-0.710069,0.499496,-0.144067,0.658066,-0.225146,0.694474,-0.329909,0.673643,-0.425634
HELLO,0.0,0.0,0.107878,-0.094542,0.193653,-0.281825,0.224943,-0.445314,0.190795,-0.567675,0.121964,-0.492,0.131811,-0.694217,0.12805,-0.822785,0.120751,-0.934554,0.037038,-0.513377,0.038876,-0.730443,0.035636,-0.875628,0.030903,-1.0,-0.040161,-0.493481,-0.044188,-0.698295,-0.041808,-0.831749,-0.041174,-0.945798,-0.112867,-0.434855,-0.122684,-0.585643,-0.12771,-0.68326,-0.13262,-0.766765
HELLO,0.0,0.0,0.105938,-0.120143,0.162913,-0.314033,0.182429,-0.467144,0.153484,-0.582494,0.07735,-0.516784,0.081607,-0.708773,0.075293,-0.828752,0.064379,-0.937352,-0.005184,-0.524048,-0.010545,-0.734355,-0.019194,-0.875288,-0.031186,-1.0,-0.080645,-0.493093,-0.09183,-0.690528,-0.09601,-0.818638,-0.10399,-0.931042,-0.152488,-0.427482,-0.168493,-0.577988,-0.173398,-0.676135,-0.180253,-0.762429
HELLO,0.0,0.0,0.117074,-0.126464,0.177913,-0.32254,0.197075,-0.475293,0.174491,-0.576699,0.069357,-0.516746,0.071071,-0.705983,0.065907,-0.824156,0.05724,-0.930437,-0.021756,-0.524916,-0.033421,-0.732278,-0.03793,-0.873841,-0.040909,-1.0,-0.103128,-0.4947,-0.122151,-0.691216,-0.122672,-0.820309,-0.120404,-0.931865,-0.178337,-0.429864,-0.201829,-0.591688,-0.203453,-0.693687,-0.196939,-0.778504
HELLO,0.0,0.0,0.121266,-0.117541,0.188969,-0.303782,0.209405,-0.456668,0.187921,-0.56846,0.073963,-0.519368,0.073269,-0.707946,0.066089,-0.828333,0.055057,-0.937392,-0.019804,-0.530864,-0.031045,-0.738237,-0.036569,-0.876662,-0.041577,-1.0,-0.105642,-0.507271,-0.120478,-0.7027,-0.121124,-0.830824,-0.11951,-0.941857,-0.182848,-0.453242,-0.201612,-0.61771,-0.201524,-0.723491,-0.193866,-0.811555
HELLO,0.0,0.0,0.121411,-0.118523,0.187076,-0.30599,0.205401,-0.457585,0.182301,-0.564954,0.073134,-0.515946,0.07188,-0.704237,0.063751,-0.824958,0.05162,-0.93331,-0.022095,-0.526965,-0.033974,-0.73587,-0.039476,-0.876225,-0.044176,-1.0,-0.109435,-0.503003,-0.125696,-0.700077,-0.125933,-0.829357,-0.123159,-0.94059,-0.187982,-0.44889,-0.207407,-0.615669,-0.20715,-0.723367,-0.19852,-0.812913
HELLO,0.0,0.0,0.153155,-0.126726,0.258088,-0.338427,0.312437,-0.494323,0.34876,-0.616574,0.252366,-0.568571,0.342747,-0.784647,0.401846,-0.907368,0.450642,-1.0,0.224654,-0.595753,0.330037,-0.807189,0.40014,-0.910749,0.466302,-0.998326,0.178029,-0.609764,0.277846,-0.809513,0.347419,-0.904323,0.411544,-0.98206,0.110664,-0.611624,0.183247,-0.769591,0.233708,-0.845594,0.277962,-0.901797
HELLO,0.0,0.0,0.119467,-0.101606,0.223914,-0.307704,0.28264,-0.469559,0.326527,-0.595385,0.212052,-0.54684,0.305399,-0.767853,0.364994,-0.892658,0.410234,-0.989095,0.194027,-0.573014,0.304473,-0.786945,0.378885,-0.901544,0.443811,-1.0,0.159134,-0.57821,0.266753,-0.766811,0.344596,-0.8567,0.411719,-0.931637,0.106099,-0.564586,0.187441,-0.711579,0.243185,-0.777266,0.286942,-0.819954
HELLO,0.0,0.0,0.187567,-0.081087,0.318581,-0.276257,0.388773,-0.44516,0.440038,-0.58938,0.316463,-0.507887,0.413519,-0.683539,0.488075,-0.793025,0.552097,-0.886495,0.260766,-0.56989,0.370734,-0.758989,0.454086,-0.879031,0.529639,-0.981896,0.189948,-0.607272,0.298151,-0.786842,0.382554,-0.902835,0.460141,-1.0,0.097053,-0.613864,0.181262,-0.776434,0.24718,-0.884002,0.312217,-0.970533
HELLO,0.0,0.0,0.171146,-0.038366,0.312388,-0.22443,0.386297,-0.385225,0.43979,-0.523355,0.311406,-0.504703,0.421053,-0.681721,0.494583,-0.799273,0.553481,-0.90049,0.259613,-0.565347,0.384563,-0.75891,0.473153,-0.885819,0.551902,-0.996875,0.194404,-0.595349,0.312785,-0.779867,0.401501,-0.899244,0.480884,-1.0,0.109766,-0.593126,0.199885,-0.752907,0.269649,-0.859422,0.337691,-0.945327
HELLO,0.0,0.0,0.163197,-0.02302,0.302804,-0.192235,0.381581,-0.328913,0.437427,-0.448073,0.3511,-0.425168,0.462176,-0.607961,0.549497,-0.742624,0.618939,-0.862796,0.302296,-0.495462,0.432623,-0.690235,0.530508,-0.830137,0.619826,-0.962563,0.235124,-0.550667,0.36368,-0.739755,0.463146,-0.876699,0.551879,-1.0,0.142222,-0.588731,0.252244,-0.750241,0.337659,-0.852784,0.421766,-0.940514
HELLO,0.0,0.0,0.174996,-0.024793,0.308565,-0.189415,0.376674,-0.333981,0.430888,-0.462877,0.366398,-0.461644,0.473913,-0.636595,0.54741,-0.756102,0.604803,-0.867342,0.320585,-0.531611,0.447764,-0.718036,0.531268,-0.838552,0.605583,-0.956094,0.255374,-0.581276,0.381568,-0.773303,0.468631,-0.890983,0.547569,-1.0,0.164709,-0.610933,0.272316,-0.78091,0.353349,-0.882515,0.433966,-0.97248
HELLO,0.0,0.0,0.170597,-0.02235,0.307465,-0.187104,0.374589,-0.332891,0.427872,-0.458427,0.365924,-0.46407,0.473579,-0.635671,0.545608,-0.752853,0.601921,-0.861162,0.31653,-0.533951,0.441776,-0.719108,0.524423,-0.837935,0.598085,-0.952581,0.248429,-0.579517,0.369351,-0.77284,0.45554,-0.890157,0.534227,-1.0,0.155557,-0.601199,0.255669,-0.768073,0.331174,-0.864767,0.406613,-0.951328
HELLO,0.0,0.0,0.178172,-0.025599,0.315477,-0.184802,0.387203,-0.334843,0.446376,-0.464321,0.36763,-0.464595,0.480871,-0.633058,0.558219,-0.748503,0.617978,-0.855055,0.320322,-0.534561,0.450926,-0.720863,0.537479,-0.839386,0.61349,-0.953595,0.253915,-0.580399,0.376777,-0.779655,0.465834,-0.895692,0.545077,-1.0,0.163765,-0.602615,0.264826,-0.766855,0.339863,-0.856357,0.410834,-0.93311
HELLO,0.0,0.0,0.177489,-0.028806,0.312026,-0.189384,0.382643,-0.338404,0.440749,-0.467508,0.364238,-0.463563,0.476633,-0.632791,0.553963,-0.747827,0.613765,-0.854518,0.316935,-0.532658,0.445822,-0.71847,0.531552,-0.836615,0.606866,-0.95101,0.250594,-0.579138,0.372553,-0.776768,0.461121,-0.893972,0.539897,-1.0,0.16044,-0.603197,0.260877,-0.768891,0.335908,-0.861501,0.407315,-0.941182
HELLO,0.0,0.0,-0.025262,-0.287353,0.074467,-0.54734,0.194942,-0.669258,0.276461,-0.743721,0.239753,-0.631994,0.347425,-0.79837,0.405508,-0.909139,0.447455,-1.0,0.303065,-0.540953,0.420799,-0.698286,0.46462,-0.803265,0.479029,-0.885253,0.340153,-0.429742,0.461305,-0.553116,0.494587,-0.643402,0.491923,-0.707352,0.356538,-0.294693,0.458262,-0.392705,0.483784,-0.460027,0.482393,-0.510781
HELLO,0.0,0.0,-0.049286,-0.213965,-0.017477,-0.416602,0.052318,-0.549124,0.105301,-0.651883,0.070425,-0.554701,0.13863,-0.72607,0.172665,-0.853694,0.192224,-0.965116,0.126075,-0.529837,0.182461,-0.715319,0.20814,-0.865925,0.220036,-1.0,0.174091,-0.468861,0.2217,-0.655807,0.243745,-0.792632,0.250713,-0.915189,0.214023,-0.368853,0.2597,-0.50466,0.267003,-0.607036,0.261887,-0.698372
HELLO,0.0,0.0,-0.078119,-0.229984,-0.066737,-0.468025,-0.013093,-0.629819,0.034918,-0.745156,0.063528,-0.588251,0.13844,-0.760604,0.178704,-0.884506,0.205497,-0.992132,0.137444,-0.551499,0.205438,-0.732414,0.236536,-0.871301,0.254147,-1.0,0.19647,-0.485032,0.254702,-0.659702,0.282703,-0.783582,0.293848,-0.899249,0.2428,-0.38504,0.294872,-0.513853,0.305108,-0.607072,0.301006,-0.691452
HELLO,0.0,0.0,0.116333,-0.129986,0.180736,-0.314291,0.199121,-0.462664,0.208646,-0.575894,0.146172,-0.502756,0.189408,-0.687109,0.208886,-0.80839,0.218412,-0.916309,0.08401,-0.537863,0.126784,-0.736241,0.147344,-0.87592,0.163253,-1.0,0.019073,-0.53906,0.052322,-0.729629,0.075793,-0.855901,0.093808,-0.964375,-0.054646,-0.500548,-0.034269,-0.632966,-0.02243,-0.724511,-0.012075,-0.805215
HELLO,0.0,0.0,0.12463,-0.121285,0.197319,-0.31544,0.225002,-0.469137,0.22825,-0.594118,0.138632,-0.512364,0.180136,-0.696236,0.201284,-0.816054,0.212988,-0.920816,0.072502,-0.541112,0.109967,-0.739773,0.129569,-0.876749,0.143307,-1.0,0.006015,-0.536724,0.036628,-0.72714,0.059379,-0.85261,0.075723,-0.962412,-0.065114,-0.494,-0.051333,-0.63772,-0.042649,-0.736554,-0.03613,-0.822519
HELLO,0.0,0.0,0.124833,-0.123123,0.191085,-0.309791,0.221977,-0.466218,0.2152,-0.59499,0.127952,-0.506266,0.167791,-0.6999,0.185245,-0.820925,0.19438,-0.929865,0.056555,-0.522953,0.092604,-0.738184,0.114095,-0.878842,0.13014,-1.0,-0.016551,-0.501934,0.007777,-0.718649,0.027661,-0.857791,0.046777,-0.977522,-0.094938,-0.446905,-0.088272,-0.607489,-0.071868,-0.715863,-0.053058,-0.812608
HELLO,0.0,0.0,0.129151,-0.130782,0.19348,-0.317607,0.223695,-0.475634,0.221919,-0.605289,0.130463,-0.511476,0.17198,-0.700855,0.191607,-0.819773,0.202903,-0.926297,0.061665,-0.532795,0.099119,-0.74625,0.12171,-0.882158,0.138063,-1.0,-0.00894,-0.516261,0.016857,-0.725268,0.037608,-0.858609,0.055313,-0.974565,-0.082763,-0.462633,-0.078111,-0.61915,-0.063829,-0.724775,-0.04784,-0.819391
HELLO,0.0,0.0,0.123537,-0.13193,0.184031,-0.328517,0.206048,-0.481431,0.215572,-0.610324,0.119515,-0.525449,0.153006,-0.711076,0.173853,-0.821952,0.188304,-0.926561,0.04816,-0.544481,0.078197,-0.746138,0.101093,-0.878957,0.120037,-1.0,-0.022762,-0.529258,-0.003418,-0.728754,0.015965,-0.855851,0.034911,-0.968389,-0.097896,-0.478209,-0.091259,-0.641076,-0.075402,-0.748335,-0.055765,-0.843725
HELLO,0.0,0.0,-0.090922,-0.164977,-0.111289,-0.388929,-0.088708,-0.555937,-0.059989,-0.682052,-0.04003,-0.535592,-0.014455,-0.745266,0.008781,-0.870537,0.029838,-0.970364,0.053746,-0.520074,0.097997,-0.745486,0.130635,-0.886734,0.158201,-1.0,0.136217,-0.465994,0.184705,-0.679761,0.212879,-0.814378,0.23347,-0.928773,0.208562,-0.376102,0.249954,-0.526975,0.266024,-0.628479,0.275344,-0.711876
HELLO,0.0,0.0,-0.08465,-0.182106,-0.100476,-0.40396,-0.07551,-0.569995,-0.044799,-0.701608,-0.020091,-0.549987,0.001479,-0.759124,0.025086,-0.883136,0.049188,-0.9821,0.072022,-0.526296,0.116045,-0.748142,0.149815,-0.887175,0.179891,-1.0,0.153152,-0.462593,0.20161,-0.677354,0.230217,-0.813671,0.251409,-0.931819,0.222514,-0.360763,0.262723,-0.513706,0.279799,-0.619843,0.289342,-0.712397
HELLO,0.0,0.0,0.171912,0.034254,0.339092,-0.095445,0.438434,-0.23346,0.503211,-0.356423,0.407955,-0.383973,0.530249,-0.57533,0.60143,-0.704081,0.65287,-0.817608,0.345976,-0.474963,0.48384,-0.685881,0.56539,-0.832351,0.628157,-0.962892,0.267146,-0.537204,0.400266,-0.740194,0.484146,-0.877521,0.551191,-1.0,0.164947,-0.573603,0.265853,-0.741673,0.335546,-0.849685,0.398408,-0.943089
HELLO,0.0,0.0,0.183496,0.022289,0.356712,-0.108051,0.454736,-0.253688,0.511221,-0.381338,0.423312,-0.411205,0.543682,-0.590249,0.614204,-0.704238,0.669291,-0.806289,0.364987,-0.503092,0.500057,-0.710237,0.585435,-0.845889,0.655834,-0.966331,0.289004,-0.564502,0.422023,-0.766959,0.507622,-0.891511,0.580293,-1.0,0.189286,-0.598989,0.290424,-0.764365,0.359583,-0.864048,0.423524,-0.952573
HELLO,0.0,0.0,0.193145,0.014057,0.367022,-0.120208,0.46804,-0.262752,0.525035,-0.390822,0.431903,-0.412043,0.553027,-0.59187,0.622919,-0.705743,0.678343,-0.807384,0.374629,-0.502304,0.508559,-0.709281,0.59214,-0.843604,0.662217,-0.963608,0.299204,-0.563726,0.430085,-0.76704,0.512864,-0.890672,0.583672,-1.0,0.200245,-0.597866,0.299785,-0.763216,0.366938,-0.862424,0.429575,-0.952318
